miRNA,SRR5896100,SRR5914587,SRR5914588,SRR5914589,SRR5914590,SRR5914591,SRR5914592,SRR5914593,SRR5914594,SRR5914595,SRR5914596,SRR5914597,SRR5914598,SRR5914599,SRR5914600,SRR5914601,SRR5914602,SRR5914603,SRR5914604,SRR5914605,SRR5914606,SRR5914607,SRR5914608,SRR5914609,SRR5914610,SRR5914611,SRR5914612,SRR5914613,SRR5914614,SRR5914615,SRR5914616,SRR5914617,SRR5914618,SRR5914619,SRR5914620,SRR5914621,SRR5914622,SRR5914623,SRR5914624,SRR5914625,SRR5914626,SRR5914627,SRR5914628,SRR5914629,SRR5914630,SRR5914631,SRR5914632,SRR5914633,SRR5914634,SRR5914635,SRR5914636,SRR5914637,SRR5914638,SRR5914639,SRR5914640,SRR5914641,SRR5914642,SRR5914643,SRR5914644,SRR5914645,SRR5914646,SRR5914647,SRR5914648,SRR5914649,SRR5914650,SRR5914652,SRR5914653,SRR5914654,SRR5914655,SRR5914656,SRR5914657,SRR5914658,SRR5914659,SRR5914660,SRR5914661,SRR5914662,SRR5914663,SRR5914664,SRR5914665,SRR5914666,SRR5914667,SRR5914668,SRR5914669,SRR5914670,SRR5914671,SRR5914672,SRR5914673
Hsa-Mir-140-v1_5p* chr16 segs:1-30 cds:+:69933101-69933130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-140-v2_3p chr16 segs:1-31 cds:+:69933140-69933170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-140-v2_5p* chr16 segs:1-31 cds:+:69933101-69933131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-140_3p,1860.0,1248.0,2610.0,589.0,1408.0,2286.0,0.0,1191.0,1598.0,545.0,1103.0,1016.0,882.0,1108.0,2385.0,1395.0,2236.0,1697.0,2583.0,1176.0,1082.0,528.0,2223.0,2074.0,1250.0,2090.0,1842.0,1467.0,2978.0,1486.0,1541.0,3632.0,2428.0,1821.0,861.0,589.0,1795.0,2598.0,1720.0,3937.0,2347.0,1043.0,728.0,586.0,1192.0,2376.0,1932.0,2245.0,413.0,2859.0,1053.0,1345.0,1932.0,1677.0,1956.0,638.0,1828.0,1714.0,2025.0,1660.0,1541.0,2064.0,2524.0,1847.0,3495.0,1074.0,2203.0,1215.0,1137.0,1536.0,1163.0,1499.0,2317.0,1695.0,2222.0,1827.0,895.0,1281.0,1610.0,3820.0,2000.0,1919.0,1836.0,1380.0,1375.0,2238.0,719.0
Hsa-Mir-140_5p*,89.0,48.0,85.0,29.0,91.0,101.0,0.0,58.0,95.0,33.0,66.0,38.0,35.0,42.0,107.0,52.0,141.0,88.0,148.0,50.0,58.0,23.0,97.0,95.0,65.0,111.0,102.0,67.0,144.0,81.0,50.0,186.0,149.0,82.0,31.0,26.0,81.0,102.0,77.0,233.0,149.0,41.0,21.0,26.0,66.0,84.0,99.0,137.0,21.0,148.0,49.0,65.0,70.0,69.0,109.0,30.0,56.0,77.0,89.0,86.0,87.0,118.0,130.0,110.0,194.0,39.0,93.0,72.0,76.0,72.0,74.0,78.0,145.0,89.0,91.0,83.0,44.0,67.0,62.0,184.0,89.0,95.0,91.0,66.0,67.0,99.0,32.0
Hsa-Mir-142-v1_3p* chr17 segs:1-29 cds:-:58331239-58331267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-142-v1_5p chr17 segs:1-29 cds:-:58331277-58331305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-142-v2_3p chr17 segs:1-30 cds:-:58331239-58331268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-142-v2_5p* chr17 segs:1-30 cds:-:58331276-58331305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-142-v3_3p chr17 segs:1-31 cds:-:58331239-58331269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-142-v3_5p* chr17 segs:1-31 cds:-:58331275-58331305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-142-v4_3p* chr17 segs:1-30 cds:-:58331237-58331266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-142-v4_5p chr17 segs:1-30 cds:-:58331278-58331307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-142_3p*,1190.0,504.0,537.0,320.0,548.0,417.0,0.0,303.0,615.0,305.0,656.0,286.0,341.0,246.0,1161.0,543.0,919.0,1245.0,3351.0,494.0,362.0,186.0,885.0,860.0,435.0,569.0,556.0,308.0,1048.0,557.0,744.0,985.0,624.0,1070.0,303.0,299.0,1951.0,1727.0,932.0,1257.0,578.0,550.0,196.0,367.0,564.0,734.0,823.0,1041.0,123.0,845.0,234.0,561.0,872.0,900.0,549.0,384.0,1256.0,1355.0,1554.0,1360.0,445.0,807.0,1470.0,781.0,2396.0,419.0,1320.0,763.0,320.0,1172.0,651.0,805.0,990.0,1382.0,808.0,289.0,266.0,457.0,504.0,3214.0,779.0,194.0,454.0,898.0,679.0,643.0,193.0
Hsa-Mir-142_5p,10054.0,4688.0,6075.0,3506.0,4313.0,4813.0,0.0,3009.0,5725.0,2964.0,5195.0,2812.0,4445.0,3556.0,13925.0,6961.0,5953.0,9499.0,23224.0,4597.0,3224.0,1544.0,8200.0,6666.0,3275.0,5791.0,6182.0,2910.0,12262.0,5461.0,10176.0,8932.0,4651.0,9228.0,4282.0,5021.0,15922.0,18218.0,7770.0,10586.0,6619.0,7442.0,2089.0,3276.0,5874.0,7270.0,9178.0,13375.0,2049.0,8667.0,3732.0,6364.0,14724.0,8155.0,6033.0,5729.0,10937.0,11715.0,13198.0,15271.0,3727.0,5596.0,13411.0,5939.0,23897.0,5491.0,13891.0,7205.0,4226.0,13254.0,4603.0,8648.0,9066.0,10042.0,8073.0,4128.0,2905.0,6507.0,4694.0,33936.0,7066.0,2433.0,4629.0,10030.0,7648.0,7679.0,2474.0
Hsa-Mir-143_3p,206576.0,186997.0,284187.0,69693.0,199476.0,353405.0,7.0,102598.0,191399.0,60160.0,295271.0,384974.0,145156.0,155796.0,231987.0,614887.0,546153.0,148618.0,414560.0,63107.0,228168.0,108983.0,232540.0,316167.0,164598.0,170094.0,488158.0,286546.0,407356.0,155372.0,136364.0,378691.0,572583.0,182455.0,126939.0,47251.0,108139.0,862960.0,134791.0,418498.0,963428.0,174499.0,84347.0,68108.0,205080.0,488841.0,287010.0,856748.0,72034.0,591208.0,155842.0,335962.0,641212.0,161802.0,1376560.0,104544.0,324719.0,463491.0,262822.0,161659.0,74653.0,340617.0,385008.0,1173558.0,407041.0,283336.0,262471.0,162613.0,251066.0,101692.0,425043.0,181504.0,334347.0,128704.0,182542.0,468200.0,273696.0,260006.0,149681.0,1840765.0,112346.0,1349630.0,334120.0,341253.0,153706.0,748642.0,221176.0
Hsa-Mir-143_3p chr5 segs:1-29 cds:+:149428976-149429004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-143_5p*,16.0,16.0,50.0,8.0,25.0,62.0,0.0,17.0,40.0,11.0,63.0,30.0,21.0,15.0,26.0,59.0,175.0,12.0,10.0,9.0,48.0,23.0,42.0,75.0,30.0,38.0,60.0,26.0,64.0,25.0,13.0,98.0,104.0,32.0,0.0,0.0,11.0,162.0,38.0,83.0,84.0,12.0,8.0,6.0,13.0,58.0,28.0,64.0,6.0,46.0,10.0,28.0,61.0,28.0,113.0,8.0,31.0,36.0,29.0,22.0,24.0,75.0,68.0,99.0,57.0,13.0,55.0,24.0,31.0,8.0,92.0,25.0,69.0,21.0,26.0,40.0,28.0,21.0,9.0,360.0,35.0,110.0,60.0,38.0,19.0,87.0,16.0
Hsa-Mir-143_5p* chr5 segs:1-29 cds:+:149428942-149428970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-144_3p*,296.0,151.0,401.0,76.0,172.0,119.0,0.0,85.0,253.0,195.0,769.0,156.0,47.0,46.0,385.0,174.0,111.0,96.0,104.0,122.0,63.0,19.0,265.0,372.0,288.0,267.0,78.0,70.0,252.0,341.0,188.0,204.0,125.0,275.0,18.0,106.0,483.0,205.0,396.0,388.0,174.0,83.0,21.0,61.0,54.0,611.0,240.0,145.0,26.0,264.0,91.0,57.0,43.0,169.0,62.0,56.0,241.0,194.0,470.0,770.0,293.0,209.0,288.0,89.0,944.0,88.0,393.0,279.0,68.0,1366.0,175.0,336.0,189.0,364.0,241.0,83.0,132.0,168.0,89.0,306.0,479.0,160.0,68.0,23.0,236.0,30.0,38.0
Hsa-Mir-144_3p* chr17 segs:1-29 cds:-:28861542-28861570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-144_5p,198.0,90.0,212.0,41.0,129.0,103.0,0.0,47.0,156.0,123.0,364.0,170.0,51.0,18.0,109.0,86.0,46.0,39.0,56.0,52.0,22.0,16.0,110.0,231.0,142.0,138.0,79.0,88.0,217.0,252.0,89.0,119.0,93.0,184.0,28.0,100.0,229.0,119.0,160.0,223.0,114.0,50.0,56.0,49.0,29.0,331.0,72.0,88.0,17.0,114.0,42.0,26.0,38.0,95.0,42.0,27.0,88.0,131.0,185.0,355.0,155.0,100.0,95.0,40.0,441.0,60.0,174.0,130.0,64.0,636.0,99.0,209.0,102.0,195.0,83.0,72.0,102.0,40.0,62.0,171.0,266.0,80.0,85.0,18.0,86.0,27.0,32.0
Hsa-Mir-144_5p chr17 segs:1-31 cds:-:28861576-28861606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-145_3p*,209.0,315.0,670.0,166.0,239.0,1187.0,0.0,238.0,930.0,157.0,948.0,546.0,377.0,107.0,453.0,1534.0,2599.0,217.0,321.0,120.0,962.0,485.0,1109.0,1499.0,553.0,1048.0,1123.0,542.0,1245.0,565.0,182.0,2514.0,1829.0,811.0,167.0,55.0,469.0,4148.0,576.0,2433.0,1277.0,178.0,62.0,74.0,324.0,909.0,654.0,823.0,90.0,902.0,252.0,302.0,812.0,286.0,1538.0,192.0,424.0,564.0,676.0,442.0,377.0,1394.0,1161.0,1072.0,1693.0,258.0,1209.0,226.0,317.0,190.0,1016.0,558.0,1271.0,458.0,287.0,549.0,423.0,540.0,187.0,8585.0,592.0,1530.0,1279.0,411.0,464.0,1332.0,465.0
Hsa-Mir-145_3p* chr5 segs:1-30 cds:+:149430697-149430726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-145_5p,867.0,1224.0,3840.0,318.0,1145.0,1539.0,0.0,632.0,1062.0,286.0,2100.0,1533.0,773.0,720.0,2247.0,2012.0,3814.0,1035.0,1303.0,326.0,1501.0,683.0,1273.0,1543.0,1161.0,1199.0,2505.0,2232.0,2249.0,617.0,574.0,2177.0,3226.0,902.0,275.0,96.0,757.0,5643.0,785.0,2409.0,4528.0,806.0,277.0,290.0,1001.0,4453.0,1979.0,3009.0,439.0,3982.0,815.0,1551.0,3713.0,915.0,5481.0,579.0,1886.0,2479.0,1657.0,703.0,419.0,2369.0,3032.0,7907.0,2276.0,1427.0,1558.0,1253.0,1001.0,411.0,3429.0,1145.0,1874.0,844.0,1620.0,1317.0,2005.0,1481.0,1032.0,11652.0,570.0,5785.0,1414.0,1170.0,1197.0,10880.0,1069.0
Hsa-Mir-145_5p chr5 segs:1-31 cds:+:149430659-149430689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-146-P1_3p*,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,4.0,0.0,11.0,0.0,5.0,0.0,2.0,0.0,4.0,0.0,0.0,6.0,0.0,2.0,6.0,0.0,0.0,3.0,0.0,6.0,3.0,5.0,0.0,0.0,13.0,4.0,12.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,4.0,2.0,0.0,10.0,0.0,6.0,0.0,4.0,0.0,3.0,0.0,6.0,0.0,4.0,3.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,14.0,0.0,5.0,3.0,0.0,3.0,0.0
Hsa-Mir-146-P1_3p* chr5 segs:1-31 cds:+:160485405-160485435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-146-P1_3p*.SNPA chr5 segs:1-31 cds:+:160485405-160485435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-146-P1_3p*.SNPC chr5 segs:1-31 cds:+:160485405-160485435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-146-P1_5p,11871.0,3092.0,1494.0,2241.0,7985.0,992.0,0.0,1779.0,2269.0,1802.0,1449.0,678.0,686.0,1779.0,3506.0,1773.0,3976.0,8212.0,2893.0,3747.0,1179.0,587.0,709.0,803.0,1102.0,2893.0,1905.0,2487.0,3925.0,1850.0,4000.0,1787.0,2287.0,5207.0,1376.0,6077.0,2168.0,2668.0,3020.0,5925.0,2489.0,6072.0,699.0,2736.0,3066.0,1891.0,3789.0,3375.0,711.0,7982.0,2261.0,6154.0,5805.0,4637.0,2133.0,12305.0,4064.0,2440.0,4321.0,3628.0,2499.0,1947.0,3518.0,879.0,4808.0,6110.0,1951.0,1243.0,2936.0,3064.0,2015.0,5134.0,1451.0,802.0,2644.0,1988.0,2359.0,8358.0,4018.0,2409.0,5131.0,1076.0,2752.0,6221.0,6325.0,2411.0,609.0
Hsa-Mir-146-P1_5p chr5 segs:1-31 cds:+:160485370-160485400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-146-P2_3p*,68.0,79.0,47.0,22.0,61.0,63.0,0.0,31.0,61.0,27.0,38.0,64.0,56.0,51.0,73.0,121.0,67.0,39.0,160.0,26.0,47.0,13.0,100.0,64.0,24.0,35.0,59.0,47.0,148.0,78.0,189.0,153.0,40.0,95.0,74.0,36.0,104.0,121.0,41.0,158.0,96.0,68.0,42.0,30.0,120.0,79.0,65.0,111.0,38.0,76.0,44.0,90.0,172.0,87.0,99.0,42.0,99.0,137.0,75.0,78.0,23.0,42.0,94.0,49.0,185.0,245.0,87.0,50.0,57.0,52.0,31.0,47.0,114.0,71.0,62.0,123.0,72.0,108.0,94.0,316.0,77.0,45.0,55.0,171.0,34.0,179.0,22.0
