miRNA,M1,M10,M11_2,M12_1,M12_2,M13,M13_2,M14_1,M14_2,M16,M18,M19,M2,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M34,M35_1,M35_2,M38,M39_1,M39_2,M4,M40,M5,M6
Hsa-Mir-144_5p,115.0,119.0,906.0,113.0,474.0,885.0,4458.0,51.0,129.0,69.0,57.0,44.0,46.0,8.0,117.0,86.0,236.0,78.0,358.0,55.0,407.0,155.0,39.0,330.0,115.0,414.0,80.0,54.0,66.0,9.0,19.0,89.0,92.0,225.0,66.0,165.0
Hsa-Mir-144_5p chr17 segs:1-31 cds:-:28861576-28861606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-145_3p*,76.0,267.0,874.0,911.0,773.0,1641.0,478.0,738.0,1289.0,758.0,276.0,819.0,226.0,65.0,250.0,201.0,138.0,643.0,633.0,361.0,518.0,249.0,562.0,213.0,918.0,63.0,837.0,418.0,939.0,98.0,414.0,1819.0,242.0,301.0,265.0,337.0
Hsa-Mir-145_3p* chr5 segs:1-30 cds:+:149430697-149430726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-145_5p,936.0,560.0,1234.0,10009.0,6144.0,7398.0,1497.0,3929.0,3602.0,2283.0,1159.0,4014.0,628.0,326.0,726.0,252.0,276.0,1886.0,2390.0,2551.0,837.0,958.0,573.0,460.0,1757.0,92.0,873.0,2632.0,2206.0,71.0,715.0,2849.0,1338.0,649.0,672.0,3007.0
Hsa-Mir-145_5p chr5 segs:1-31 cds:+:149430659-149430689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-146-P1_3p*,3.0,0.0,6.0,0.0,20.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0,10.0,0.0,2.0,0.0,0.0,0.0,9.0,10.0
Hsa-Mir-146-P1_3p* chr5 segs:1-31 cds:+:160485405-160485435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-146-P1_3p*.SNPA chr5 segs:1-31 cds:+:160485405-160485435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-146-P1_3p*.SNPC chr5 segs:1-31 cds:+:160485405-160485435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-146-P1_5p,1115.0,5245.0,4567.0,1901.0,24097.0,4818.0,727.0,4159.0,834.0,458.0,1157.0,1329.0,3720.0,386.0,763.0,777.0,2815.0,635.0,1761.0,3752.0,4499.0,1970.0,3445.0,222.0,10573.0,1109.0,1062.0,1361.0,10259.0,845.0,2413.0,1853.0,2074.0,945.0,11866.0,3226.0
Hsa-Mir-146-P1_5p chr5 segs:1-31 cds:+:160485370-160485400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-146-P2_3p*,87.0,103.0,1114.0,700.0,1901.0,1291.0,130.0,2788.0,153.0,101.0,268.0,270.0,191.0,87.0,202.0,288.0,46.0,394.0,534.0,1055.0,342.0,519.0,319.0,168.0,831.0,100.0,433.0,1582.0,916.0,48.0,2128.0,1149.0,93.0,331.0,519.0,915.0
Hsa-Mir-146-P2_3p* chr10 segs:1-30 cds:+:102436555-102436584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-146-P2_5p,11025.0,13508.0,34050.0,31015.0,154371.0,41209.0,2213.0,92602.0,28739.0,5285.0,9948.0,17594.0,34572.0,3543.0,8013.0,9068.0,1949.0,13545.0,29920.0,28774.0,31761.0,18371.0,45046.0,10641.0,52965.0,6385.0,13311.0,25297.0,39140.0,3879.0,83453.0,75267.0,15082.0,10521.0,16864.0,40765.0
Hsa-Mir-146-P2_5p chr10 segs:1-32 cds:+:102436518-102436549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-147-v1_3p chr15 segs:1-30 cds:+:45433096-45433125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-147-v1_5p* chr15 segs:1-31 cds:+:45433058-45433088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-147-v2_3p chr15 segs:1-30 cds:+:45433095-45433124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-147-v2_5p* chr15 segs:1-30 cds:+:45433059-45433088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-147_3p,60.0,29.0,79.0,96.0,128.0,120.0,67.0,100.0,72.0,60.0,126.0,43.0,65.0,37.0,362.0,58.0,222.0,68.0,13.0,57.0,114.0,130.0,8.0,256.0,62.0,71.0,402.0,85.0,24.0,2.0,27.0,50.0,39.0,156.0,68.0,452.0
Hsa-Mir-147_5p*,0.0,0.0,4.0,0.0,0.0,4.0,3.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,7.0,3.0,7.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Hsa-Mir-148-P1_3p,98394.0,342333.0,117136.0,60191.0,186827.0,163613.0,160070.0,89045.0,159646.0,122681.0,53849.0,100142.0,95454.0,219148.0,50663.0,278827.0,242090.0,92186.0,96137.0,182472.0,152409.0,79775.0,110266.0,38036.0,271401.0,118356.0,139159.0,114371.0,35582.0,133970.0,207174.0,126183.0,145166.0,87438.0,252337.0,107362.0
Hsa-Mir-148-P1_3p chr7 segs:1-30 cds:-:25949916-25949945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-148-P1_5p*,950.0,2922.0,1430.0,614.0,1621.0,1811.0,1670.0,1206.0,1639.0,924.0,495.0,1137.0,570.0,1256.0,516.0,3078.0,4114.0,1075.0,936.0,1373.0,1898.0,629.0,983.0,379.0,1235.0,721.0,1081.0,1384.0,341.0,659.0,2772.0,791.0,938.0,774.0,2671.0,1301.0
Hsa-Mir-148-P1_5p* chr7 segs:1-30 cds:-:25949954-25949983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-148-P2_3p,181.0,292.0,1369.0,1458.0,1041.0,1908.0,2400.0,883.0,710.0,544.0,261.0,860.0,177.0,315.0,345.0,341.0,121.0,1043.0,1308.0,1207.0,860.0,538.0,401.0,252.0,963.0,48.0,782.0,1259.0,816.0,101.0,1633.0,2622.0,421.0,347.0,487.0,504.0
Hsa-Mir-148-P2_3p chr17 segs:1-29 cds:-:48037168-48037196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-148-P2_5p*,12.0,13.0,51.0,33.0,33.0,66.0,62.0,56.0,33.0,14.0,11.0,31.0,5.0,8.0,11.0,18.0,6.0,46.0,28.0,30.0,27.0,16.0,22.0,3.0,25.0,0.0,8.0,62.0,35.0,0.0,51.0,79.0,16.0,15.0,13.0,18.0
Hsa-Mir-148-P2_5p* chr17 segs:1-31 cds:-:48037204-48037234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-148-P3_3p,2020.0,5294.0,3535.0,4868.0,4962.0,7002.0,6888.0,3940.0,4768.0,1339.0,3931.0,4117.0,3141.0,2692.0,5366.0,5053.0,3042.0,4769.0,3564.0,3160.0,4212.0,3387.0,4287.0,3271.0,4217.0,1146.0,3104.0,4960.0,3356.0,1556.0,3537.0,9144.0,3879.0,1951.0,4133.0,6190.0
Hsa-Mir-148-P3_3p chr12 segs:1-30 cds:+:54337276-54337305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-148-P3_5p*,210.0,327.0,367.0,528.0,344.0,320.0,595.0,299.0,184.0,62.0,226.0,160.0,131.0,109.0,356.0,289.0,279.0,577.0,234.0,82.0,481.0,225.0,241.0,321.0,214.0,83.0,220.0,275.0,266.0,22.0,612.0,952.0,142.0,208.0,243.0,679.0
Hsa-Mir-148-P3_5p* chr12 segs:1-32 cds:+:54337237-54337268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-149_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-149_3p* chr2 segs:1-30 cds:+:240456053-240456082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-149_5p,15.0,32.0,30.0,277.0,60.0,145.0,718.0,169.0,43.0,70.0,78.0,61.0,34.0,24.0,36.0,60.0,112.0,239.0,162.0,45.0,171.0,67.0,33.0,37.0,61.0,13.0,50.0,420.0,111.0,6.0,433.0,1257.0,78.0,13.0,70.0,543.0
Hsa-Mir-149_5p chr2 segs:1-31 cds:+:240456013-240456043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-15-P1a_3p*,0.0,0.0,0.0,5.0,3.0,0.0,9.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,7.0,3.0,2.0,0.0,6.0,4.0,0.0,3.0,0.0,6.0,5.0,0.0,13.0
Hsa-Mir-15-P1a_3p* chr13 segs:1-30 cds:-:50049124-50049153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-15-P1a_5p,1064.0,2832.0,2432.0,3963.0,2846.0,3225.0,5593.0,2838.0,1125.0,687.0,1077.0,1179.0,728.0,412.0,1926.0,2388.0,3042.0,5698.0,1461.0,2046.0,2870.0,2162.0,494.0,1485.0,1577.0,1306.0,1984.0,4069.0,3296.0,231.0,1422.0,1454.0,1939.0,1929.0,1257.0,3962.0
Hsa-Mir-15-P1a_5p chr13 segs:1-30 cds:-:50049161-50049190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-15-P1b_3p*,53.0,155.0,132.0,115.0,115.0,133.0,219.0,66.0,107.0,35.0,62.0,69.0,37.0,40.0,175.0,122.0,107.0,110.0,67.0,74.0,123.0,97.0,35.0,128.0,55.0,81.0,55.0,226.0,118.0,15.0,134.0,414.0,69.0,79.0,65.0,361.0
Hsa-Mir-15-P1b_3p* chr3 segs:1-30 cds:+:160404643-160404672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-15-P1b_5p,601.0,1351.0,684.0,1008.0,1439.0,1002.0,1097.0,727.0,876.0,285.0,531.0,621.0,625.0,285.0,1233.0,878.0,991.0,881.0,724.0,569.0,823.0,715.0,454.0,1228.0,929.0,434.0,537.0,1979.0,1382.0,187.0,678.0,2345.0,754.0,958.0,335.0,2318.0
Hsa-Mir-15-P1b_5p chr3 segs:1-30 cds:+:160404605-160404634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-15-P1c_3p*,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-15-P1c_3p* chr17 segs:1-30 cds:-:7017932-7017961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-15-P1c_5p,288.0,231.0,797.0,1794.0,1030.0,1818.0,1792.0,1074.0,497.0,1132.0,189.0,455.0,43.0,112.0,284.0,263.0,151.0,1024.0,947.0,713.0,942.0,363.0,182.0,164.0,508.0,30.0,492.0,1587.0,851.0,52.0,705.0,618.0,792.0,130.0,181.0,775.0
Hsa-Mir-15-P1c_5p chr17 segs:1-30 cds:-:7017972-7018001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-15-P1d_3p*,84.0,97.0,735.0,364.0,63.0,74.0,90.0,644.0,423.0,302.0,60.0,314.0,34.0,54.0,106.0,143.0,36.0,60.0,69.0,45.0,68.0,87.0,77.0,143.0,139.0,17.0,165.0,175.0,73.0,66.0,486.0,371.0,72.0,68.0,119.0,191.0
Hsa-Mir-15-P1d_3p* chrX segs:1-30 cds:-:134546637-134546666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-15-P1d_5p,825.0,226.0,435.0,2406.0,654.0,628.0,296.0,3044.0,1604.0,2639.0,336.0,2428.0,431.0,712.0,662.0,434.0,108.0,298.0,408.0,172.0,240.0,503.0,107.0,1046.0,462.0,101.0,187.0,824.0,383.0,104.0,590.0,829.0,417.0,123.0,413.0,1116.0
Hsa-Mir-15-P1d_5p chrX segs:1-30 cds:-:134546674-134546703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-15-P2a_3p*,0.0,7.0,7.0,0.0,0.0,8.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,7.0,0.0,0.0,6.0,6.0,0.0,6.0,4.0,7.0,0.0,5.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,13.0
Hsa-Mir-15-P2a_3p* chr13 segs:1-31 cds:-:50048978-50049008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-15-P2a_5p chr13 segs:1-30 cds:-:50049021-50049050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-15-P2a_5p/P2b_5p,13071.0,33589.0,38644.0,26275.0,35971.0,48990.0,72514.0,23898.0,20595.0,12700.0,12515.0,17364.0,12461.0,8505.0,38132.0,37455.0,43870.0,69385.0,30470.0,18056.0,53746.0,31795.0,10778.0,32595.0,24317.0,22884.0,25856.0,51209.0,38363.0,5085.0,20772.0,40705.0,25691.0,30771.0,17402.0,35600.0
Hsa-Mir-15-P2b_3p*,65.0,223.0,1049.0,232.0,237.0,239.0,926.0,167.0,77.0,42.0,89.0,90.0,47.0,57.0,122.0,166.0,163.0,209.0,110.0,107.0,175.0,102.0,58.0,162.0,224.0,167.0,222.0,453.0,423.0,19.0,702.0,535.0,97.0,296.0,174.0,429.0
Hsa-Mir-15-P2b_3p* chr3 segs:1-31 cds:+:160404794-160404824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-15-P2b_5p chr3 segs:1-31 cds:+:160404752-160404782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-15-P2c_3p*,5.0,58.0,126.0,63.0,96.0,97.0,55.0,83.0,56.0,68.0,16.0,61.0,8.0,0.0,18.0,19.0,11.0,38.0,52.0,62.0,36.0,11.0,11.0,7.0,36.0,6.0,60.0,62.0,74.0,10.0,132.0,86.0,22.0,13.0,25.0,44.0
Hsa-Mir-15-P2c_3p* chr17 segs:1-31 cds:-:7017621-7017651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-15-P2c_5p,274.0,673.0,956.0,1161.0,3373.0,4384.0,2111.0,1334.0,1576.0,3081.0,308.0,1140.0,249.0,133.0,435.0,381.0,207.0,1031.0,962.0,856.0,1325.0,457.0,345.0,328.0,1169.0,54.0,690.0,1573.0,2180.0,242.0,1063.0,1454.0,735.0,198.0,274.0,544.0
Hsa-Mir-15-P2c_5p chr17 segs:1-30 cds:-:7017660-7017689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-15-P2d_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Hsa-Mir-15-P2d_3p* chrX segs:1-31 cds:-:134546325-134546355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-15-P2d_5p,50.0,0.0,26.0,241.0,16.0,15.0,18.0,115.0,132.0,69.0,16.0,69.0,13.0,0.0,30.0,28.0,14.0,15.0,32.0,0.0,16.0,21.0,0.0,101.0,26.0,0.0,18.0,32.0,21.0,10.0,87.0,62.0,34.0,0.0,0.0,119.0
Hsa-Mir-15-P2d_5p chrX segs:1-31 cds:-:134546365-134546395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-150_3p*,15.0,0.0,58.0,8.0,33.0,34.0,22.0,40.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,19.0,0.0,23.0,17.0,13.0,14.0,10.0,7.0,0.0,18.0,9.0,12.0,42.0,39.0,18.0,35.0,0.0,0.0,0.0,0.0,16.0
Hsa-Mir-150_3p* chr19 segs:1-29 cds:-:49500792-49500820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-150_5p,1215.0,96.0,3853.0,2120.0,4578.0,4609.0,2204.0,5832.0,157.0,96.0,809.0,598.0,125.0,509.0,333.0,1384.0,125.0,4485.0,583.0,1704.0,1523.0,2624.0,391.0,226.0,1420.0,521.0,2130.0,17401.0,9893.0,408.0,2044.0,287.0,587.0,466.0,872.0,3757.0
Hsa-Mir-150_5p chr19 segs:1-30 cds:-:49500826-49500855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-153-P1_3p chr2 segs:1-30 cds:-:219294120-219294149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-153-P1_3p/P2_3p,47.0,427.0,26.0,113.0,133.0,264.0,1012.0,124.0,389.0,121.0,10.0,86.0,35.0,5.0,492.0,31.0,153.0,92.0,87.0,10.0,76.0,27.0,73.0,293.0,35.0,230.0,69.0,16.0,126.0,85.0,9.0,100.0,68.0,20.0,50.0,197.0
Hsa-Mir-153-P1_5p*,0.0,0.0,5.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,6.0,0.0,9.0,5.0,0.0,0.0,10.0,11.0
Hsa-Mir-153-P1_5p* chr2 segs:1-30 cds:-:219294158-219294187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
