miRNA,COMET-0122M2_S39_R1_001,COMET-0128M1_S30_R1_001,COMET-0138M1_S31_R1_001,COMET-0145M1_S32_R1_001,COMET-0182M1_S33_R1_001,COMET-0186M1_S34_R1_001,COMET-0190M1_S35_R1_001,COMET-0227M1_S36_R1_001,COMET-0242M1_S37_R1_001,COMET-0243M1_S40_R1_001,COMET-0252M1_S38_R1_001,Lme-0003M1-1_S13_R1_001,Lme-0009M1-1_S14_R1_001,Lme-0012M1-1_S17_R1_001,Lme-0013M1-1_S18_R1_001,Lme-0017M1-1_S15_R1_001,Lme-0026M1-1_S16_R1_001,Lme-0027M1-1_S1_R1_001,Lme-0033M1-2_S2_R1_001,Lme-0035M1-2_S3_R1_001,Lme-0042M1-2_S4_R1_001,Lme-0043M1-2_S5_R1_001,Lme-0047M1-2_S6_R1_001,Lme-0052M1-1_S7_R1_001,Lme-0063M1-2_S8_R1_001,Lme-0066M1-1_S9_R1_001,Lme-0072M1-2_S10_R1_001,Lme-0078M1-2_S11_R1_001,Lme-0081M1-1_S12_R1_001,PC-0031M1-1_S22_R1_001,PC-0048M1-1_S19_R1_001,PC-0083M1-1_S26_R1_001,PC-0108M1-1_S23_R1_001,PC-0160M1-1_S24_R1_001,PC-0161M1-1_S21_R1_001,PC-0284M1-1_S25_R1_001,PC-0301M1-3_S27_R1_001,PC-0714M1-1_S28_R1_001,PCB-0049M1-1_S20_R1_001,PCB-0234M1-1_S29_R1_001
Hsa-Mir-129-P1_5p/P2_5p,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-129-P2_3p* chr11 segs:1-30 cds:+:43581448-43581477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-129-P2_5p chr11 segs:1-29 cds:+:43581406-43581434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1294_3p*,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1294_3p* chr5 segs:1-30 cds:+:154347188-154347217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1294_5p,6.0,5.0,0.0,0.0,6.0,11.0,6.0,11.0,0.0,5.0,5.0,10.0,0.0,3.0,0.0,5.0,9.0,0.0,10.0,19.0,8.0,12.0,0.0,0.0,7.0,9.0,6.0,10.0,6.0,0.0,5.0,4.0,0.0,8.0,7.0,4.0,0.0,0.0,0.0,0.0
Hsa-Mir-1294_5p chr5 segs:1-30 cds:+:154347151-154347180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1295_3p,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,4.0,0.0,6.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0
Hsa-Mir-1295_3p chr1 segs:1-30 cds:-:171101731-171101760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1295_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1295_5p* chr1 segs:1-30 cds:-:171101770-171101799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1296_3p*,0.0,0.0,0.0,0.0,7.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0
Hsa-Mir-1296_3p* chr10 segs:1-29 cds:-:63372963-63372991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1296_5p,55.0,216.0,42.0,123.0,147.0,88.0,145.0,120.0,88.0,72.0,101.0,182.0,83.0,142.0,226.0,186.0,310.0,165.0,206.0,431.0,153.0,284.0,85.0,96.0,256.0,51.0,134.0,61.0,154.0,129.0,37.0,169.0,158.0,164.0,107.0,111.0,221.0,109.0,209.0,89.0
Hsa-Mir-1296_5p chr10 segs:1-30 cds:-:63373006-63373035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1298_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1298_3p* chrX segs:1-30 cds:+:114715302-114715331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1298_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1298_5p chrX segs:1-30 cds:+:114715248-114715277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-130-P1a_3p,1139.0,2526.0,818.0,6963.0,1608.0,1498.0,1565.0,1237.0,1257.0,2150.0,5481.0,3853.0,3376.0,3758.0,4327.0,1525.0,3458.0,2372.0,6839.0,9303.0,5171.0,4917.0,4790.0,6333.0,3700.0,747.0,4624.0,10989.0,3609.0,1163.0,396.0,11554.0,2530.0,4765.0,1964.0,2115.0,1261.0,1507.0,2180.0,2171.0
Hsa-Mir-130-P1a_3p chr11 segs:1-30 cds:+:57641250-57641279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-130-P1a_5p*,0.0,8.0,0.0,8.0,6.0,0.0,6.0,6.0,3.0,0.0,2.0,0.0,7.0,2.0,6.0,0.0,0.0,0.0,4.0,18.0,10.0,8.0,4.0,3.0,0.0,0.0,17.0,13.0,3.0,0.0,0.0,17.0,0.0,3.0,3.0,5.0,0.0,0.0,2.0,5.0
Hsa-Mir-130-P1a_5p* chr11 segs:1-30 cds:+:57641210-57641239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-130-P1b_3p,510.0,382.0,170.0,562.0,1577.0,553.0,528.0,549.0,572.0,250.0,532.0,713.0,411.0,395.0,310.0,1406.0,2509.0,740.0,754.0,821.0,1316.0,1125.0,562.0,1100.0,2439.0,237.0,428.0,920.0,1001.0,460.0,184.0,557.0,344.0,550.0,392.0,458.0,321.0,398.0,311.0,692.0
Hsa-Mir-130-P1b_3p chr22 segs:1-30 cds:+:21653352-21653381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-130-P1b_5p*,60.0,121.0,86.0,161.0,239.0,124.0,131.0,128.0,137.0,93.0,125.0,76.0,22.0,50.0,80.0,110.0,178.0,179.0,133.0,127.0,197.0,129.0,64.0,54.0,325.0,56.0,105.0,149.0,132.0,74.0,31.0,148.0,109.0,139.0,52.0,101.0,111.0,103.0,65.0,195.0
Hsa-Mir-130-P1b_5p* chr22 segs:1-30 cds:+:21653314-21653343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-130-P2a_3p,976.0,2905.0,283.0,2836.0,4354.0,1927.0,1000.0,1536.0,5607.0,798.0,1030.0,497.0,1754.0,438.0,1897.0,1942.0,1683.0,1309.0,2266.0,2567.0,6407.0,4702.0,1971.0,4142.0,7921.0,364.0,2040.0,4704.0,2062.0,705.0,296.0,4126.0,996.0,2461.0,1813.0,1928.0,723.0,600.0,703.0,1259.0
Hsa-Mir-130-P2a_3p chr17 segs:1-31 cds:-:59151143-59151173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-130-P2a_5p*,3.0,16.0,3.0,13.0,11.0,5.0,0.0,5.0,10.0,6.0,2.0,2.0,5.0,0.0,5.0,5.0,3.0,3.0,7.0,8.0,14.0,15.0,6.0,11.0,12.0,0.0,5.0,4.0,0.0,2.0,3.0,10.0,5.0,6.0,0.0,3.0,5.0,0.0,0.0,0.0
Hsa-Mir-130-P2a_5p* chr17 segs:1-30 cds:-:59151181-59151210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-130-P2b_3p,175.0,890.0,45.0,693.0,2288.0,542.0,293.0,349.0,1485.0,157.0,179.0,150.0,210.0,69.0,508.0,488.0,1094.0,372.0,406.0,455.0,1547.0,1374.0,462.0,605.0,2862.0,95.0,351.0,728.0,702.0,171.0,53.0,711.0,255.0,540.0,418.0,498.0,112.0,281.0,112.0,406.0
Hsa-Mir-130-P2b_3p chr22 segs:1-31 cds:+:21653023-21653053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-130-P2b_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-130-P2b_5p* chr22 segs:1-30 cds:+:21652988-21653017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-130-P4a_3p,656.0,870.0,247.0,1436.0,1354.0,1124.0,710.0,950.0,1738.0,545.0,1236.0,719.0,1104.0,586.0,815.0,1484.0,985.0,967.0,1599.0,1799.0,2330.0,2273.0,1216.0,2293.0,3309.0,606.0,1685.0,3051.0,1276.0,471.0,367.0,806.0,639.0,1457.0,696.0,728.0,598.0,254.0,450.0,468.0
Hsa-Mir-130-P4a_3p chr17 segs:1-33 cds:-:59137779-59137811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-130-P4a_5p*,24.0,59.0,9.0,67.0,61.0,31.0,25.0,33.0,72.0,22.0,37.0,11.0,17.0,12.0,24.0,44.0,39.0,35.0,51.0,66.0,149.0,89.0,34.0,37.0,114.0,16.0,47.0,107.0,45.0,17.0,11.0,26.0,23.0,61.0,12.0,33.0,8.0,9.0,9.0,16.0
Hsa-Mir-130-P4a_5p* chr17 segs:1-31 cds:-:59137821-59137851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1301_3p,24.0,61.0,20.0,55.0,49.0,58.0,33.0,58.0,122.0,27.0,48.0,31.0,46.0,73.0,45.0,74.0,121.0,43.0,41.0,90.0,83.0,96.0,38.0,96.0,86.0,14.0,73.0,39.0,109.0,16.0,19.0,58.0,47.0,64.0,45.0,60.0,37.0,15.0,23.0,13.0
Hsa-Mir-1301_3p chr2 segs:1-32 cds:-:25328645-25328676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1301_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1301_5p* chr2 segs:1-30 cds:-:25328683-25328712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1307_3p,251.0,539.0,102.0,847.0,1007.0,725.0,500.0,733.0,896.0,162.0,345.0,438.0,412.0,451.0,460.0,864.0,993.0,611.0,308.0,843.0,842.0,1192.0,238.0,600.0,1171.0,371.0,422.0,580.0,679.0,408.0,207.0,916.0,256.0,579.0,548.0,571.0,676.0,168.0,268.0,313.0
Hsa-Mir-1307_3p chr10 segs:1-31 cds:-:103394294-103394324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1307_5p,2194.0,4947.0,688.0,6900.0,14089.0,9304.0,6115.0,6598.0,7984.0,2001.0,2808.0,770.0,2461.0,809.0,4517.0,1971.0,1665.0,4522.0,2542.0,9168.0,10002.0,11514.0,3691.0,4145.0,9973.0,1204.0,4879.0,9346.0,8799.0,3503.0,1726.0,9107.0,1262.0,4466.0,3495.0,4114.0,4458.0,1303.0,1101.0,2395.0
Hsa-Mir-1307_5p chr10 segs:1-31 cds:-:103394333-103394363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-132-P1_3p,397.0,941.0,140.0,894.0,408.0,346.0,248.0,354.0,549.0,306.0,791.0,821.0,458.0,550.0,403.0,639.0,868.0,589.0,668.0,1097.0,968.0,1436.0,1404.0,788.0,1223.0,146.0,843.0,712.0,1402.0,357.0,327.0,592.0,1137.0,1604.0,719.0,1026.0,813.0,139.0,1199.0,466.0
Hsa-Mir-132-P1_3p chr17 segs:1-30 cds:-:2049923-2049952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-132-P1_5p*,30.0,37.0,17.0,84.0,35.0,19.0,16.0,19.0,31.0,32.0,45.0,19.0,24.0,13.0,26.0,24.0,26.0,53.0,41.0,60.0,69.0,67.0,66.0,38.0,74.0,6.0,43.0,34.0,78.0,18.0,11.0,30.0,79.0,65.0,20.0,46.0,23.0,6.0,26.0,28.0
Hsa-Mir-132-P1_5p* chr17 segs:1-30 cds:-:2049959-2049988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-132-P2_3p*,58.0,95.0,26.0,113.0,57.0,35.0,35.0,50.0,84.0,61.0,97.0,86.0,45.0,58.0,68.0,47.0,129.0,92.0,71.0,148.0,124.0,162.0,140.0,71.0,133.0,19.0,117.0,62.0,160.0,53.0,33.0,58.0,155.0,285.0,74.0,121.0,84.0,15.0,107.0,69.0
Hsa-Mir-132-P2_3p* chr17 segs:1-30 cds:-:2050283-2050312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-132-P2_5p,19.0,25.0,6.0,40.0,26.0,14.0,16.0,10.0,15.0,22.0,17.0,20.0,14.0,15.0,21.0,17.0,29.0,33.0,25.0,45.0,33.0,31.0,36.0,14.0,46.0,4.0,22.0,16.0,41.0,10.0,7.0,22.0,62.0,59.0,12.0,25.0,15.0,10.0,24.0,13.0
Hsa-Mir-132-P2_5p chr17 segs:1-31 cds:-:2050322-2050352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1323_3p* chr19 segs:1-29 cds:+:53672011-53672039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1323_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1323_5p chr19 segs:1-30 cds:+:53671976-53672005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-133-P1-v1_3p chr20 segs:1-31 cds:+:62564968-62564998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-133-P1-v1_5p* chr20 segs:1-31 cds:+:62564931-62564961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-133-P1-v2_3p chr20 segs:1-30 cds:+:62564969-62564998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-133-P1-v2_5p* chr20 segs:1-30 cds:+:62564931-62564960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-133-P1_3p/P2_3p/P3_3p,75.0,228.0,46.0,131.0,128.0,105.0,76.0,99.0,97.0,165.0,45.0,99.0,11.0,400.0,232.0,126.0,32.0,87.0,1185.0,237.0,205.0,120.0,52.0,238.0,201.0,53.0,413.0,373.0,117.0,23.0,55.0,99.0,75.0,927.0,18.0,24.0,532.0,27.0,5.0,82.0
Hsa-Mir-133-P1_5p*/P2_5p*,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-133-P2-v1_3p chr18 segs:1-31 cds:-:21825705-21825735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-133-P2-v1_5p* chr18 segs:1-31 cds:-:21825742-21825772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-133-P2-v2_3p chr18 segs:1-30 cds:-:21825705-21825734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-133-P2-v2_5p* chr18 segs:1-30 cds:-:21825743-21825772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
