miRNA,P3,P30,P31,P32,P35,P36,P37,P38,P39,P4,P40,P5,P7,P8,P9,PN1,PN10,PN13,PN14,PN15_1,PN15_2,PN16,PN18,PN2,PN21,PN22,PN27,PN28,PN29,PN30,PN31,PN32,PN34,PN37,PN4,PN5,PN6
Hsa-Mir-154-P24_3p,4.0,8.0,4.0,13.0,10.0,0.0,14.0,4.0,3.0,4.0,5.0,4.0,24.0,0.0,2.0,0.0,15.0,5.0,3.0,32.0,5.0,3.0,4.0,6.0,0.0,0.0,10.0,6.0,0.0,4.0,0.0,6.0,3.0,4.0,13.0,7.0,3.0
Hsa-Mir-154-P24_3p chr14 segs:1-30 cds:+:101049608-101049637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P24_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P24_5p* chr14 segs:1-30 cds:+:101049570-101049599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P25_3p,8.0,22.0,6.0,24.0,13.0,0.0,35.0,11.0,0.0,15.0,3.0,0.0,36.0,0.0,11.0,39.0,36.0,18.0,2.0,35.0,15.0,6.0,9.0,9.0,7.0,4.0,12.0,8.0,0.0,10.0,5.0,8.0,3.0,11.0,25.0,10.0,17.0
Hsa-Mir-154-P25_3p chr14 segs:1-29 cds:+:101066764-101066792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P25_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P25_5p* chr14 segs:1-29 cds:+:101066729-101066757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P26_3p,11.0,39.0,16.0,31.0,51.0,16.0,55.0,25.0,10.0,34.0,5.0,9.0,60.0,0.0,17.0,44.0,46.0,17.0,14.0,15.0,30.0,4.0,13.0,13.0,9.0,8.0,15.0,12.0,8.0,13.0,8.0,14.0,7.0,21.0,36.0,0.0,24.0
Hsa-Mir-154-P26_3p chr14 segs:1-30 cds:+:101026069-101026098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P26_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Hsa-Mir-154-P26_5p* chr14 segs:1-30 cds:+:101026033-101026062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P27_3p,77.0,169.0,47.0,203.0,281.0,19.0,147.0,209.0,27.0,150.0,31.0,93.0,327.0,31.0,109.0,144.0,219.0,140.0,73.0,224.0,152.0,128.0,193.0,86.0,119.0,35.0,144.0,112.0,42.0,105.0,17.0,160.0,37.0,153.0,157.0,96.0,95.0
Hsa-Mir-154-P27_3p chr14 segs:1-29 cds:+:101047947-101047975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P27_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,2.0
Hsa-Mir-154-P27_5p* chr14 segs:1-30 cds:+:101047909-101047938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P28a_3p chr14 segs:1-30 cds:+:101043027-101043056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P28a_3p/P28b_3p,6.0,14.0,8.0,42.0,32.0,11.0,34.0,27.0,11.0,19.0,14.0,0.0,43.0,0.0,9.0,15.0,21.0,13.0,9.0,17.0,14.0,3.0,0.0,8.0,10.0,0.0,12.0,16.0,2.0,0.0,2.0,14.0,3.0,10.0,14.0,6.0,4.0
Hsa-Mir-154-P28a_5p* chr14 segs:1-30 cds:+:101042989-101043018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P28a_5p*/P28b_5p,11.0,29.0,17.0,29.0,9.0,11.0,20.0,41.0,9.0,28.0,8.0,0.0,105.0,0.0,22.0,41.0,56.0,21.0,17.0,25.0,20.0,0.0,0.0,17.0,14.0,3.0,21.0,31.0,10.0,15.0,17.0,31.0,5.0,7.0,33.0,14.0,27.0
Hsa-Mir-154-P28b_3p chr14 segs:1-30 cds:+:101044248-101044277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P28b_5p chr14 segs:1-30 cds:+:101044210-101044239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P29_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P29_3p chr14 segs:1-30 cds:+:101030097-101030126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P29_5p* chr14 segs:1-29 cds:+:101030062-101030090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P2_3p,19.0,38.0,19.0,59.0,75.0,15.0,38.0,67.0,23.0,68.0,7.0,15.0,113.0,5.0,51.0,80.0,116.0,56.0,61.0,135.0,40.0,41.0,83.0,32.0,34.0,23.0,48.0,72.0,19.0,42.0,16.0,89.0,10.0,45.0,104.0,44.0,47.0
Hsa-Mir-154-P2_5p,2.0,6.0,7.0,6.0,16.0,0.0,7.0,10.0,8.0,12.0,5.0,4.0,14.0,3.0,3.0,8.0,8.0,3.0,8.0,11.0,7.0,2.0,15.0,6.0,3.0,2.0,10.0,12.0,2.0,9.0,2.0,2.0,3.0,11.0,14.0,5.0,0.0
Hsa-Mir-154-P30_3p,4.0,5.0,0.0,5.0,11.0,0.0,3.0,4.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,5.0,0.0,0.0,5.0,4.0,0.0,3.0,4.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P30_3p chr14 segs:1-29 cds:+:101025618-101025646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P30_5p* chr14 segs:1-29 cds:+:101025583-101025611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P36_3p,255.0,995.0,660.0,1223.0,1656.0,447.0,1746.0,1302.0,441.0,601.0,393.0,413.0,1454.0,102.0,611.0,691.0,1146.0,457.0,594.0,679.0,593.0,443.0,434.0,321.0,259.0,216.0,374.0,382.0,228.0,406.0,294.0,998.0,193.0,468.0,554.0,365.0,297.0
Hsa-Mir-154-P36_3p chr14 segs:1-30 cds:+:101065344-101065373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P36_5p*,3.0,57.0,49.0,28.0,50.0,37.0,141.0,10.0,33.0,8.0,32.0,0.0,8.0,3.0,3.0,14.0,18.0,13.0,7.0,14.0,6.0,8.0,5.0,0.0,7.0,8.0,12.0,0.0,17.0,13.0,36.0,11.0,14.0,11.0,6.0,0.0,5.0
Hsa-Mir-154-P36_5p* chr14 segs:1-31 cds:+:101065312-101065342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3a-v1_3p chr14 segs:1-29 cds:+:101025780-101025808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3a-v1_5p* chr14 segs:1-29 cds:+:101025745-101025773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3a-v2_3p chr14 segs:1-30 cds:+:101025779-101025808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3a-v2_5p* chr14 segs:1-30 cds:+:101025745-101025774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3a_3p,10.0,9.0,8.0,44.0,22.0,4.0,34.0,40.0,9.0,23.0,11.0,0.0,61.0,0.0,17.0,24.0,68.0,21.0,5.0,52.0,23.0,7.0,11.0,22.0,22.0,4.0,35.0,25.0,4.0,19.0,7.0,19.0,5.0,8.0,29.0,11.0,20.0
Hsa-Mir-154-P3a_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3b_3p,9.0,15.0,8.0,33.0,24.0,11.0,29.0,13.0,6.0,0.0,8.0,8.0,34.0,4.0,18.0,7.0,27.0,11.0,7.0,4.0,0.0,9.0,5.0,12.0,13.0,3.0,11.0,19.0,4.0,9.0,3.0,7.0,2.0,9.0,5.0,8.0,9.0
Hsa-Mir-154-P3b_3p chr14 segs:1-29 cds:+:101056267-101056295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3b_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3b_5p* chr14 segs:1-31 cds:+:101056231-101056261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3b_5p*.SNPA chr14 segs:1-31 cds:+:101056231-101056261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3b_5p*.SNPB chr14 segs:1-31 cds:+:101056231-101056261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3b_5p*.SNPC chr14 segs:1-31 cds:+:101056231-101056261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P4a_3p chr14 segs:1-30 cds:+:101026832-101026861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P4a_3p/P4b_3p,6.0,11.0,6.0,0.0,4.0,0.0,13.0,6.0,0.0,5.0,2.0,0.0,19.0,0.0,4.0,16.0,13.0,0.0,4.0,11.0,2.0,4.0,6.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,0.0,3.0
Hsa-Mir-154-P4a_5p* chr14 segs:1-32 cds:+:101026794-101026825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P4a_5p*/P4b_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P4b_3p chr14 segs:1-30 cds:+:101027149-101027178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P4b_5p* chr14 segs:1-32 cds:+:101027111-101027142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P5_3p,30.0,45.0,23.0,111.0,81.0,10.0,63.0,45.0,12.0,64.0,17.0,11.0,140.0,3.0,57.0,84.0,142.0,52.0,27.0,192.0,67.0,55.0,23.0,29.0,36.0,19.0,43.0,51.0,9.0,37.0,14.0,50.0,9.0,61.0,87.0,43.0,38.0
Hsa-Mir-154-P5_3p chr14 segs:1-29 cds:+:101065639-101065667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P5_5p,11.0,58.0,31.0,80.0,48.0,22.0,161.0,77.0,24.0,32.0,15.0,6.0,100.0,4.0,40.0,93.0,139.0,25.0,23.0,55.0,62.0,16.0,13.0,25.0,24.0,10.0,58.0,33.0,19.0,38.0,14.0,55.0,15.0,51.0,82.0,26.0,53.0
Hsa-Mir-154-P5_5p chr14 segs:1-29 cds:+:101065604-101065632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P6_3p,7.0,31.0,10.0,40.0,18.0,3.0,27.0,16.0,7.0,23.0,19.0,5.0,48.0,8.0,11.0,60.0,47.0,22.0,14.0,69.0,33.0,11.0,10.0,16.0,10.0,7.0,18.0,10.0,6.0,12.0,14.0,14.0,7.0,22.0,48.0,19.0,39.0
Hsa-Mir-154-P6_3p chr14 segs:1-30 cds:+:101062092-101062121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P6_5p,8.0,19.0,11.0,12.0,21.0,5.0,27.0,8.0,9.0,19.0,3.0,0.0,28.0,0.0,11.0,25.0,24.0,6.0,21.0,16.0,13.0,6.0,21.0,10.0,11.0,9.0,14.0,9.0,4.0,12.0,12.0,14.0,3.0,7.0,30.0,12.0,14.0
Hsa-Mir-154-P6_5p chr14 segs:1-30 cds:+:101062054-101062083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P7_3p*,5.0,8.0,9.0,8.0,15.0,6.0,22.0,11.0,7.0,6.0,5.0,0.0,12.0,3.0,0.0,12.0,18.0,10.0,3.0,8.0,7.0,0.0,12.0,6.0,10.0,5.0,2.0,8.0,3.0,5.0,3.0,3.0,5.0,0.0,19.0,0.0,11.0
Hsa-Mir-154-P7_3p* chr14 segs:1-29 cds:+:101022107-101022135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P7_5p,11.0,52.0,35.0,43.0,41.0,45.0,90.0,60.0,75.0,44.0,28.0,14.0,109.0,8.0,29.0,49.0,59.0,24.0,75.0,67.0,44.0,17.0,26.0,28.0,33.0,10.0,46.0,36.0,38.0,44.0,29.0,85.0,34.0,51.0,71.0,24.0,51.0
Hsa-Mir-154-P7_5p chr14 segs:1-29 cds:+:101022069-101022097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P8_3p,0.0,6.0,5.0,4.0,5.0,0.0,8.0,2.0,3.0,0.0,0.0,0.0,11.0,0.0,6.0,6.0,15.0,0.0,0.0,8.0,4.0,0.0,5.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0
Hsa-Mir-154-P8_3p chr14 segs:1-29 cds:+:101025054-101025082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P8_5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P8_5p chr14 segs:1-30 cds:+:101025018-101025047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P9_3p,435.0,826.0,472.0,1212.0,1659.0,222.0,1317.0,1785.0,394.0,1548.0,335.0,363.0,3004.0,124.0,690.0,2369.0,3449.0,1185.0,1492.0,3004.0,1243.0,974.0,1884.0,901.0,851.0,374.0,1474.0,1233.0,394.0,1566.0,533.0,3540.0,578.0,1102.0,2923.0,942.0,1366.0
Hsa-Mir-154-P9_3p chr14 segs:1-30 cds:+:101045966-101045995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P9_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P9_5p* chr14 segs:1-31 cds:+:101045925-101045955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-155_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-155_3p* chr21 segs:1-30 cds:+:25574020-25574049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-155_5p,776.0,599.0,480.0,2530.0,1845.0,265.0,956.0,528.0,293.0,1565.0,316.0,1374.0,1197.0,247.0,431.0,1472.0,2454.0,747.0,931.0,2054.0,2501.0,1330.0,753.0,382.0,558.0,752.0,980.0,2136.0,516.0,1897.0,543.0,1595.0,1030.0,1651.0,1632.0,1358.0,958.0
Hsa-Mir-155_5p chr21 segs:1-32 cds:+:25573981-25574012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
