miRNA,M6_2,M7,M9,MN1,MN12_1,MN12_2,MN15,MN16,MN18,MN19,MN21,MN28,MN32,MN34,MN5,MN6,P1,P10,P12,P13,P14,P15_1,P15_2,P16,P18,P19,P20,P22,P23,P24,P25,P26,P27,P28,P29
Hsa-Mir-154-P14_3p* chr14 segs:1-29 cds:+:101065497-101065525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P14_3p*.SNPA chr14 segs:1-29 cds:+:101065497-101065525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P14_3p*.SNPC chr14 segs:1-29 cds:+:101065497-101065525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P14_5p,14.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,3.0,7.0,0.0,27.0,38.0,0.0,5.0,13.0,32.0,6.0,16.0,0.0,6.0,0.0,4.0,3.0,6.0,9.0,0.0,14.0,8.0,5.0
Hsa-Mir-154-P14_5p chr14 segs:1-31 cds:+:101065463-101065493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P15_3p*,39.0,12.0,21.0,6.0,35.0,8.0,14.0,30.0,10.0,25.0,17.0,8.0,0.0,4.0,19.0,9.0,40.0,20.0,18.0,26.0,20.0,34.0,2.0,37.0,20.0,20.0,8.0,12.0,46.0,9.0,10.0,22.0,13.0,22.0,22.0
Hsa-Mir-154-P15_3p* chr14 segs:1-30 cds:+:101055462-101055491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P15_5p,22.0,17.0,24.0,11.0,11.0,5.0,4.0,11.0,22.0,27.0,24.0,21.0,6.0,28.0,35.0,9.0,20.0,29.0,9.0,12.0,16.0,21.0,4.0,10.0,9.0,13.0,9.0,0.0,45.0,20.0,20.0,16.0,20.0,39.0,25.0
Hsa-Mir-154-P15_5p chr14 segs:1-31 cds:+:101055425-101055455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P16_3p,35.0,23.0,13.0,10.0,32.0,4.0,14.0,15.0,13.0,20.0,18.0,17.0,4.0,12.0,18.0,9.0,12.0,26.0,9.0,13.0,20.0,21.0,4.0,8.0,11.0,6.0,4.0,13.0,33.0,15.0,12.0,8.0,14.0,11.0,19.0
Hsa-Mir-154-P16_3p chr14 segs:1-30 cds:+:101052492-101052521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P16_5p,0.0,3.0,3.0,0.0,4.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,6.0,0.0,2.0,2.0,4.0,0.0,5.0,0.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,3.0
Hsa-Mir-154-P16_5p chr14 segs:1-30 cds:+:101052456-101052485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P17_3p,131.0,77.0,69.0,31.0,93.0,21.0,75.0,60.0,58.0,80.0,54.0,82.0,21.0,45.0,113.0,41.0,183.0,82.0,56.0,45.0,43.0,165.0,37.0,89.0,52.0,72.0,37.0,57.0,185.0,50.0,60.0,29.0,112.0,101.0,110.0
Hsa-Mir-154-P17_3p chr14 segs:1-30 cds:+:101046503-101046532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P17_5p*,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P17_5p* chr14 segs:1-30 cds:+:101046467-101046496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P18_3p,39.0,25.0,26.0,11.0,92.0,7.0,36.0,31.0,8.0,18.0,30.0,19.0,0.0,8.0,12.0,8.0,72.0,14.0,18.0,16.0,24.0,9.0,0.0,18.0,14.0,4.0,43.0,17.0,35.0,13.0,8.0,15.0,56.0,32.0,8.0
Hsa-Mir-154-P18_3p chr14 segs:1-31 cds:+:101029679-101029709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P18_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P18_5p* chr14 segs:1-31 cds:+:101029646-101029676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P19_3p,46.0,9.0,21.0,9.0,38.0,5.0,19.0,31.0,13.0,13.0,21.0,8.0,7.0,5.0,23.0,10.0,33.0,41.0,11.0,15.0,21.0,43.0,17.0,28.0,33.0,20.0,18.0,12.0,38.0,15.0,15.0,12.0,29.0,29.0,17.0
Hsa-Mir-154-P19_3p chr14 segs:1-30 cds:+:101033802-101033831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P19_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P19_5p* chr14 segs:1-30 cds:+:101033766-101033795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P1_3p,4.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Hsa-Mir-154-P1_3p chr14 segs:1-30 cds:+:101059803-101059832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P1_5p,33.0,13.0,14.0,22.0,50.0,15.0,32.0,28.0,20.0,14.0,23.0,18.0,6.0,8.0,18.0,19.0,47.0,18.0,14.0,21.0,8.0,40.0,11.0,34.0,15.0,9.0,20.0,21.0,46.0,14.0,14.0,14.0,18.0,43.0,10.0
Hsa-Mir-154-P1_5p chr14 segs:1-30 cds:+:101059767-101059796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P2-v1_3p chr14 segs:1-30 cds:+:101023830-101023859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P2-v1_5p* chr14 segs:1-30 cds:+:101023797-101023826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P2-v2_3p* chr14 segs:1-30 cds:+:101023829-101023858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P2-v2_5p chr14 segs:1-30 cds:+:101023798-101023827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P20-v1_3p chr14 segs:1-30 cds:+:101060626-101060655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P20-v1_5p* chr14 segs:1-30 cds:+:101060594-101060623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P20-v2_3p chr14 segs:1-29 cds:+:101060628-101060656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P20-v2_5p* chr14 segs:1-31 cds:+:101060593-101060623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P20_3p,3.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,4.0,15.0,4.0,5.0,0.0,12.0,0.0,10.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,5.0
Hsa-Mir-154-P20_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P21_3p,73.0,45.0,64.0,26.0,87.0,91.0,51.0,71.0,67.0,262.0,75.0,107.0,0.0,52.0,102.0,32.0,59.0,220.0,0.0,28.0,176.0,50.0,65.0,59.0,48.0,47.0,72.0,48.0,92.0,62.0,41.0,46.0,49.0,53.0,37.0
Hsa-Mir-154-P21_3p chr14 segs:1-32 cds:+:101047367-101047398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P21_5p*,11.0,2.0,0.0,0.0,5.0,0.0,3.0,7.0,0.0,0.0,0.0,5.0,0.0,4.0,7.0,2.0,4.0,8.0,0.0,3.0,7.0,10.0,5.0,0.0,0.0,2.0,0.0,0.0,6.0,4.0,2.0,9.0,6.0,8.0,4.0
Hsa-Mir-154-P21_5p* chr14 segs:1-32 cds:+:101047327-101047358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P22_3p,14.0,4.0,16.0,3.0,3.0,5.0,6.0,9.0,7.0,6.0,6.0,5.0,5.0,8.0,13.0,4.0,23.0,16.0,6.0,8.0,12.0,18.0,3.0,5.0,18.0,17.0,3.0,11.0,21.0,6.0,8.0,8.0,15.0,5.0,23.0
Hsa-Mir-154-P22_3p chr14 segs:1-30 cds:+:101032031-101032060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P22_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P22_5p* chr14 segs:1-30 cds:+:101031995-101032024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P23_3p,1058.0,911.0,1084.0,419.0,1258.0,106.0,689.0,822.0,744.0,933.0,971.0,937.0,198.0,821.0,1710.0,563.0,755.0,1324.0,520.0,316.0,533.0,1469.0,318.0,579.0,329.0,417.0,508.0,556.0,1778.0,824.0,864.0,346.0,769.0,1004.0,783.0
Hsa-Mir-154-P23_3p chr14 segs:1-29 cds:+:101040267-101040295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P23_5p*,16.0,9.0,9.0,0.0,30.0,8.0,11.0,27.0,9.0,18.0,12.0,19.0,3.0,19.0,13.0,4.0,19.0,46.0,11.0,9.0,12.0,33.0,12.0,17.0,9.0,12.0,19.0,11.0,46.0,10.0,11.0,15.0,14.0,34.0,17.0
Hsa-Mir-154-P23_5p* chr14 segs:1-30 cds:+:101040232-101040261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P24_3p,18.0,6.0,12.0,4.0,13.0,3.0,0.0,4.0,6.0,7.0,7.0,0.0,0.0,3.0,7.0,5.0,10.0,20.0,5.0,6.0,6.0,21.0,5.0,7.0,14.0,4.0,9.0,9.0,10.0,5.0,7.0,0.0,7.0,6.0,4.0
Hsa-Mir-154-P24_3p chr14 segs:1-30 cds:+:101049608-101049637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P24_5p*,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,2.0,0.0,0.0
Hsa-Mir-154-P24_5p* chr14 segs:1-30 cds:+:101049570-101049599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P25_3p,32.0,18.0,19.0,9.0,8.0,0.0,11.0,9.0,8.0,6.0,9.0,9.0,0.0,11.0,26.0,15.0,10.0,21.0,12.0,6.0,3.0,29.0,9.0,27.0,11.0,6.0,9.0,12.0,35.0,18.0,11.0,6.0,25.0,5.0,21.0
Hsa-Mir-154-P25_3p chr14 segs:1-29 cds:+:101066764-101066792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P25_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P25_5p* chr14 segs:1-29 cds:+:101066729-101066757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P26_3p,28.0,30.0,31.0,9.0,72.0,0.0,27.0,15.0,29.0,45.0,23.0,24.0,4.0,22.0,29.0,18.0,23.0,50.0,17.0,9.0,16.0,41.0,14.0,20.0,27.0,13.0,31.0,20.0,83.0,32.0,26.0,17.0,35.0,54.0,21.0
Hsa-Mir-154-P26_3p chr14 segs:1-30 cds:+:101026069-101026098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P26_5p*,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P26_5p* chr14 segs:1-30 cds:+:101026033-101026062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P27_3p,233.0,116.0,109.0,44.0,796.0,83.0,93.0,169.0,105.0,155.0,124.0,178.0,23.0,80.0,158.0,80.0,172.0,369.0,104.0,90.0,161.0,366.0,102.0,226.0,126.0,114.0,261.0,192.0,355.0,101.0,128.0,257.0,156.0,135.0,94.0
Hsa-Mir-154-P27_3p chr14 segs:1-29 cds:+:101047947-101047975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P27_5p*,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P27_5p* chr14 segs:1-30 cds:+:101047909-101047938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P28a_3p chr14 segs:1-30 cds:+:101043027-101043056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P28a_3p/P28b_3p,38.0,24.0,18.0,2.0,38.0,5.0,6.0,10.0,6.0,25.0,11.0,21.0,0.0,20.0,16.0,6.0,36.0,28.0,14.0,16.0,17.0,28.0,6.0,10.0,27.0,10.0,16.0,19.0,36.0,26.0,20.0,15.0,33.0,14.0,26.0
Hsa-Mir-154-P28a_5p* chr14 segs:1-30 cds:+:101042989-101043018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P28a_5p*/P28b_5p,68.0,12.0,21.0,4.0,19.0,5.0,13.0,18.0,10.0,18.0,11.0,8.0,0.0,5.0,17.0,3.0,27.0,38.0,8.0,14.0,4.0,80.0,18.0,37.0,8.0,22.0,13.0,14.0,46.0,11.0,23.0,33.0,34.0,14.0,40.0
Hsa-Mir-154-P28b_3p chr14 segs:1-30 cds:+:101044248-101044277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P28b_5p chr14 segs:1-30 cds:+:101044210-101044239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P29_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P29_3p chr14 segs:1-30 cds:+:101030097-101030126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P29_5p* chr14 segs:1-29 cds:+:101030062-101030090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-154-P2_3p,79.0,23.0,87.0,27.0,178.0,44.0,24.0,147.0,39.0,48.0,22.0,31.0,16.0,27.0,60.0,17.0,79.0,84.0,33.0,35.0,52.0,105.0,15.0,111.0,77.0,47.0,56.0,70.0,96.0,39.0,53.0,76.0,63.0,55.0,18.0
Hsa-Mir-154-P2_5p,9.0,2.0,14.0,0.0,16.0,0.0,2.0,17.0,4.0,4.0,5.0,2.0,2.0,7.0,12.0,6.0,12.0,24.0,5.0,2.0,7.0,39.0,8.0,3.0,6.0,3.0,0.0,9.0,12.0,5.0,10.0,5.0,12.0,5.0,6.0
Hsa-Mir-154-P30_3p,7.0,11.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,8.0,7.0,3.0,5.0,5.0,0.0,7.0,6.0,0.0,5.0,3.0,14.0,0.0,0.0,0.0,4.0,9.0,2.0
Hsa-Mir-154-P30_3p chr14 segs:1-29 cds:+:101025618-101025646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
